"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Net official development assistance and official aid received (current US$)","DT.ODA.ALLD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","12039999.961853","40430000.3051758","20909999.8474121","19290000.9155273","24329999.9237061","29979999.5422363","24969999.3133545","29979999.5422363","24860000.6103516","18260000.2288818","25799999.2370605","19530000.6866455","25069999.6948242","11260000.2288818","-7380000.11444092","11500000","-1700000.04768372","10489999.7711182","76220001.2207031","-11319999.6948242","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Net official development assistance and official aid received (current US$)","DT.ODA.ALLD.CD","","","","","","","","","","","491530003.177002","563959994.575008","688990003.872663","804809999.719262","1265530004.68016","1871239952.0278","1689510023.11707","2117160013.67569","2778050024.03259","3852599973.44017","4669250015.02037","4549970002.65121","4830960004.80652","4704879937.89651","4588420012.47406","5459229925.63248","6289619968.41431","7560669958.11463","8521049962.99744","8447229913.71156","10480720001.2207","10194609941.4826","11410189949.0357","10290579914.093","10310319892.8833","10800960118.2938","8218980037.68921","8028639986.03821","7679369930.26734","7481400024.41407","7995110001.56403","8510100046.15784","11407200153.3508","16522039883.6136","16249479990.9592","16411430004.1199","18452829945.5643","20486030153.2746","23679979837.4176","25143129997.2534","24977449817.6575","28533789930.3436","26226879871.3684","29207570093.1549","25900260070.8008","25497109967.7086","25069150086.4029","27881609782.219","27525489810.9436","30202910114.2884","","",
"Afghanistan","AFG","Net official development assistance and official aid received (current US$)","DT.ODA.ALLD.CD","17180000.3051758","34669998.1689453","16930000.3051758","36669998.1689453","46169998.1689453","53930000.3051758","50840000.1525879","41080001.8310547","29239999.7711182","27250000","27610000.6103516","44439998.626709","55180000.3051758","55720001.2207031","48909999.8474121","66980003.3569336","70199996.9482422","82720001.2207031","74500000","99209999.0844727","28600000.3814697","22950000.7629395","9739999.77111816","13479999.5422363","6710000.03814697","16319999.6948242","2650000.09536743","46520000.4577637","73500000","149320007.324219","122720001.220703","508540008.544922","204800003.051758","223800003.051758","226419998.168945","212529998.779297","169630004.882813","230750000","164199996.948242","142860000.610352","136009994.506836","410359985.351563","1223290039.0625","1538229980.46875","2268530029.29688","2815100097.65625","2895830078.125","4982609863.28125","4811209960.9375","6113120117.1875","6235319824.21875","6745740234.375","6666770019.53125","5152540039.0625","4942970214.84375","4274229980.46875","4069419921.875","3811739990.23438","3792489990.23438","4137000000","4208490234.375","4656339843.75",
"Africa Western and Central","AFW","Net official development assistance and official aid received (current US$)","DT.ODA.ALLD.CD","","","","","","","","","","","542780003.070831","602020000.085235","610400006.29425","781199999.818578","1159600009.91821","1441460011.24382","1382409999.75801","1509669982.73134","2107920005.61953","2460689999.58038","2706670009.61304","2649729988.09815","2614319970.13092","2482990002.63214","2834980006.21796","2929300014.49585","4007109979.62952","4334899929.04663","5026420055.38941","5882469989.77661","6473519947.052","6558540054.32129","6609010009.76563","6321599979.40064","7606889926.91041","6911829978.94287","6707550060.27222","5283050033.56934","5644260025.02442","4772110036.84998","4049070066.45203","4705749979.97284","6247569955.82581","6514859987.25891","8213159975.05188","14364720142.3645","20366009918.2129","12652500106.8115","12531550003.0518","14215949983.5968","15345270011.9019","14186749874.115","15529890200.6149","14105610011.1008","14729140147.686","14652700120.9259","13834239950.1801","15917469878.6736","16573919943.3327","18431019996.6431","","",
"Angola","AGO","Net official development assistance and official aid received (current US$)","DT.ODA.ALLD.CD","-50000.0007450581","23549999.2370605","","29999.9993294477","","1110000.01430511","2859999.89509583","18180000.3051758","9999.99977648258","-109999.999403954","-29999.9993294477","","90000.0035762787","159999.996423721","370000.004768372","4760000.22888184","17479999.5422363","47500000","46869998.9318848","47060001.373291","52439998.626709","60220001.2207031","59069999.6948242","73879997.253418","93410003.6621094","90489997.8637695","130250000","134429992.675781","157029998.779297","167059997.558594","265769989.013672","277079986.572266","343589996.337891","289390014.648438","447070007.324219","416420013.427734","459309997.558594","354660003.662109","335269989.013672","387540008.544922","302209991.455078","282730010.986328","414029998.779297","493500000","1144569946.28906","414679992.675781","163520004.272461","259980010.986328","369040008.544922","238940002.441406","235169998.168945","192940002.441406","243610000.610352","285540008.544922","235389999.389648","380059997.558594","206529998.779297","223220001.220703","162720001.220703","21040000.9155273","111069999.694824","231729995.727539",
"Albania","ALB","Net official development assistance and official aid received (current US$)","DT.ODA.ALLD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5559999.94277954","10340000.1525879","11050000.1907349","331950012.207031","409640014.648438","270679992.675781","163100006.103516","180600006.103516","226639999.389648","168229995.727539","268739990.234375","488179992.675781","317850006.103516","268529998.779297","307359985.351563","349309997.558594","300940002.441406","315079986.572266","324040008.544922","308630004.882813","364839996.337891","357149993.896484","365070007.324219","379480010.986328","349160003.662109","269980010.986328","281170013.427734","335160003.662109","171039993.286133","168350006.103516","344519989.013672","27069999.6948242","309440002.441406","632309997.558594",
"Andorra","AND","Net official development assistance and official aid received (current US$)","DT.ODA.ALLD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Net official development assistance and official aid received (current US$)","DT.ODA.ALLD.CD","","","","","","","","","","","713500001.106411","730710006.214679","875479998.365044","2169269978.22523","3869830047.78624","5702299892.99179","5924509939.13412","6996859862.86402","6880979954.79406","8042799885.79453","9272629957.25869","8876639943.33149","7479719998.71732","6480009941.3395","6031929985.88086","6729439941.28704","6399709944.2482","6784450071.09642","5300050009.60827","5128569936.99074","12762750096.0827","11533449827.1942","8300329899.54949","7335299915.0753","7671250001.43052","6020099861.86027","6374499894.85741","5885569985.74734","6482210033.65517","5512709961.89118","5082809939.8613","5475920011.28197","5307289940.83405","9084489860.53467","11674739841.4612","29295579914.093","17562190309.5245","19061669792.1753","22708910317.3614","14318619856.8642","12318010100.8415","13655589836.1206","15120080116.272","22498559654.2358","22269969970.7031","20726810295.105","27757370086.6699","30002789398.1934","33943020240.7837","30092379943.8477","32811099685.669","40139670440.6738",
"United Arab Emirates","ARE","Net official development assistance and official aid received (current US$)","DT.ODA.ALLD.CD","409999.996423721","540000.021457672","430000.007152557","389999.985694885","579999.983310699","19999.9995529652","1299999.95231628","1570000.05245209","1129999.99523163","870000.004768372","5289999.96185303","5610000.1335144","4679999.82833862","759999.990463257","589999.973773956","4050000.19073486","1039999.96185303","34860000.6103516","1690000.05722046","7030000.20980835","4079999.92370605","330000.013113022","4690000.05722046","4309999.94277954","3319999.9332428","4050000.19073486","34180000.3051758","114680000.305176","-11970000.2670288","-5929999.82833862","3539999.96185303","-7659999.84741211","-9729999.54223633","-10170000.0762939","-8029999.73297119","5409999.84741211","6710000.03814697","1740000.00953674","3460000.03814697","3329999.92370605","3200000.04768372","2369999.88555908","3829999.92370605","4960000.03814697","5360000.1335144","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Net official development assistance and official aid received (current US$)","DT.ODA.ALLD.CD","44049999.2370605","54790000.9155273","55159999.8474121","27870000.8392334","-5289999.96185303","-57150001.5258789","-9279999.73297119","8979999.54223633","2720000.02861023","17579999.9237061","-2440000.05722046","4980000.01907349","1889999.98569489","13560000.4196167","15949999.8092651","12000000","14090000.1525879","16389999.3896484","16760000.2288818","28270000.4577637","43680000.3051758","36830001.8310547","29489999.7711182","34419998.1689453","32740001.6784668","39080001.8310547","73669998.1689453","83389999.3896484","142479995.727539","201610000.610352","171630004.882813","277769989.013672","266730010.986328","245949996.948242","160919998.168945","148179992.675781","122440002.441406","99260002.1362305","73959999.0844727","82379997.253418","74559997.5585938","157639999.389648","98989997.8637695","117720001.220703","97339996.3378906","93870002.746582","114209999.084473","90230003.3569336","125019996.643066","116029998.779297","130309997.558594","97050003.0517578","177759994.506836","34729999.5422363","48790000.9155273","-18870000.8392334","2619999.88555908","-1169999.95708466","73220001.2207031","8890000.34332275","101699996.948242","153529998.779297",
"Armenia","ARM","Net official development assistance and official aid received (current US$)","DT.ODA.ALLD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2720000.02861023","22450000.7629395","109459999.084473","191270004.272461","217710006.713867","292279998.779297","166270004.272461","194259994.506836","209240005.493164","215889999.389648","211470001.220703","295220001.220703","250399993.896484","256119995.117188","172619995.117188","215389999.389648","351899993.896484","296029998.779297","405600006.103516","320320007.324219","375989990.234375","270559997.558594","280359985.351563","267429992.675781","347480010.986328","326429992.675781","257540008.544922","141820007.324219","417299987.792969","134309997.558594","161869995.117188",
"American Samoa","ASM","Net official development assistance and official aid received (current US$)","DT.ODA.ALLD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Net official development assistance and official aid received (current US$)","DT.ODA.ALLD.CD","","","","","","","","","","","","","","9999.99977648258","3000000","2059999.94277954","3109999.89509583","5380000.11444092","3599999.90463257","3279999.97138977","5500000","9039999.96185303","4949999.80926514","3369999.88555908","2359999.89509583","2950000.04768372","5050000.19073486","5559999.94277954","8449999.80926514","4340000.15258789","4610000.1335144","7230000.01907349","4670000.07629395","3000000","4159999.84741211","2269999.98092651","3869999.88555908","4349999.90463257","9979999.54223633","10840000.1525879","9880000.11444092","8579999.92370605","13510000.2288818","5630000.11444092","1899999.97615814","8060000.4196167","3279999.97138977","4989999.77111816","6070000.17166138","4260000.22888184","19659999.8474121","15420000.0762939","2089999.91416931","1590000.0333786","2549999.95231628","1490000.00953674","180000.007152557","10300000.1907349","17600000.3814697","27450000.7629395","25829999.9237061","5409999.84741211",
"Australia","AUS","Net official development assistance and official aid received (current US$)","DT.ODA.ALLD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Net official development assistance and official aid received (current US$)","DT.ODA.ALLD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Net official development assistance and official aid received (current US$)","DT.ODA.ALLD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","300000.011920929","7429999.82833862","23870000.8392334","149039993.286133","119540000.915527","96360000.6103516","184059997.558594","120360000.610352","171000000","140610000.610352","230910003.662109","350809997.558594","302029998.779297","175830001.831055","210399993.896484","203850006.103516","213309997.558594","225100006.103516","217580001.831055","156479995.727539","287769989.013672","286790008.544922","-70830001.8310547","216740005.493164","69580001.8310547","79430000.3051758","123529998.779297","87419998.1689453","119089996.337891","122739997.86377","9239999.77111816",
