"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.3333359165049","7.31874705144978","7.24270551538248","7.1606939771638","7.06379589640827","7.05599796744036","7.09054103045865","7.06009651793634","7.01527157432932","6.93953642644108","6.85037572406791","6.80353661652446","6.7412409260797","6.53517317460762","6.3735025653771","6.34759816055424","6.28342089359081","6.23256052983032","6.29558701104752","6.93364462972581","6.71535805738561","6.59935567323687","6.5127841025363","6.55564528416233","6.70714160237614","6.8555894235371","6.94036503514997","6.91304643638878","7.12166374671851","7.63130341847771","7.9202187313171",
"Afghanistan","AFG","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.12100028991699","8.16800022125244","8.1230001449585","8.11100006103516","8.26000022888184","8.16499996185303","8.08899974822998","8.08199977874756","8.06999969482422","8.05399990081787","8.03999996185303","8.18599987030029","8.12199974060059","8.05300045013428","8.11299991607666","8.05399990081787","8.10799980163574","8.02200031280518","8.08199977874756","8.06799983978271","7.94700002670288","8.01900005340576","7.94899988174438","7.90999984741211","8.98900032043457","10.0860004425049","11.1800003051758","11.1099996566772","11.085000038147","11.710000038147","",
"Africa Western and Central","AFW","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.22459508653187","4.33546037117227","4.37212508737686","4.36689765649207","4.34899631746977","4.37953687626588","4.42111673176107","4.45491736908756","4.63777280595356","4.66642263665412","4.58178056550067","4.44873299359231","4.40596904675248","4.3525620416528","4.3214962368522","4.20305838032003","4.14827042031336","4.16744297952451","4.21507268199001","4.23577745671536","4.18882767264463","4.16755614622719","3.8044475021588","3.98587798262434","4.24113597618525","4.11295791765579","4.14048380439269","4.20159855917052","4.26141400612556","4.91414336183036","4.87363510086898",
"Angola","AGO","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.48899984359741","4.48699998855591","4.5310001373291","4.39499998092651","4.30399990081787","4.27400016784668","4.26200008392334","4.23400020599365","4.20599985122681","4.16300010681152","4.11899995803833","4.04300022125244","4.04300022125244","3.97199988365173","3.91499996185303","3.88199996948242","3.82699990272522","3.79099988937378","3.77999997138977","9.43000030517578","7.3600001335144","8.06400012969971","8.83399963378906","9.57999992370605","9.58399963378906","9.58600044250488","9.53499984741211","9.52200031280518","9.48099994659424","10.3500003814697","10.3839998245239",
"Albania","ALB","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.3070001602173","30.0149993896484","25.257999420166","20.8400001525879","14.6110000610352","13.9309997558594","16.8759994506836","20.0470008850098","20.8400001525879","19.0279998779297","18.5750007629395","17.8950004577637","16.9890003204346","16.3099994659424","15.9700002670288","15.6300001144409","15.9700002670288","13.0600004196167","13.6700000762939","14.0900001525879","13.4799995422363","13.3800001144409","15.8699998855591","18.0499992370605","17.1900005340576","15.4200000762939","13.6199998855591","12.3000001907349","11.4700002670288","13.0670003890991","12.6829996109009",
"Andorra","AND","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.6634431687814","11.950447400968","12.6618723571883","12.7383799016074","13.2169994940033","12.266322487717","11.8387853173173","11.8480184910254","11.9772996349668","12.4478457077062","12.3240000753147","12.3300848699409","12.2542940003736","11.2793411617153","11.1212581584985","10.4111854975762","10.0030513080955","9.69851873679926","9.31289674968892","9.38650684234694","10.4749676410935","10.6735450417056","10.7343392652866","10.8562137307999","10.9682191394431","10.7633586338785","10.9199205489869","10.5833398795491","10.1651582677219","11.3483704922958","11.0236934412027",
"United Arab Emirates","ARE","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.88699996471405","1.85800004005432","1.86199998855591","1.80999994277954","1.79999995231628","1.90299999713898","1.98300004005432","2.1470000743866","2.22300004959106","2.25","2.50099992752075","2.65400004386902","2.75099992752075","2.90400004386902","3.11999988555908","2.92600011825562","2.85999989509583","2.72099995613098","2.66799998283386","2.46399998664856","2.28399991989136","2.1710000038147","2.03200006484985","1.90199995040894","1.76300001144409","1.63999998569489","2.46000003814697","2.24000000953674","2.32999992370605","4.28999996185303","3.10999989509583",
"Argentina","ARG","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.44000005722046","6.3600001335144","10.1000003814697","11.7600002288818","18.7999992370605","17.1100006103516","14.8199996948242","12.6499996185303","14.0500001907349","15","17.3199996948242","19.5900001525879","15.3599996566772","13.5200004577637","11.5100002288818","10.0799999237061","8.47000026702881","7.84000015258789","8.64999961853027","7.71000003814697","7.17999982833862","7.21999979019165","7.09999990463257","7.26999998092651","7.52400016784668","8.10900020599365","8.35000038146973","9.22000026702881","9.84000015258789","11.460000038147","8.73999977111816",
